date,fund,company,ticker,shares,weight(%)
1/11/2021,ARKF,SQUARE INC - A,SQ,1013422.00,10.15
1/11/2021,ARKW,SQUARE INC - A,SQ,1084166.00,4.18
1/11/2021,ARKK,SQUARE INC - A,SQ,4595114.00,4.96
1/11/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,1123141.00,1.06
1/11/2021,ARKQ,STRATASYS LTD,SSYS,1544348.00,2.06
1/11/2021,ARKK,STRATASYS LTD,SSYS,7049806.00,1.00
1/11/2021,ARKG,SURFACE ONCOLOGY INC,SURF,3018112.00,0.36
1/11/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3159384.00,0.40
1/11/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,5056505.00,0.29
1/11/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,11829668.00,2.28
1/11/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,329476.00,1.13
1/11/2021,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2422437.00,3.14
1/11/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,3668128.00,1.33
1/11/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,1268394.00,4.27
1/11/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,747590.00,1.32
1/11/2021,ARKF,TELADOC HEALTH INC,TDOC,115213.00,1.13
1/11/2021,ARKW,TELADOC HEALTH INC,TDOC,981308.00,3.71
1/11/2021,ARKG,TELADOC HEALTH INC,TDOC,2687892.00,6.24
1/11/2021,ARKK,TELADOC HEALTH INC,TDOC,4161249.00,4.40
1/11/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,23530.00,0.40
1/11/2021,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,230621.00,0.91
1/11/2021,ARKQ,TERADYNE INC,TER,280767.00,1.72
1/11/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,207986.00,1.12
1/11/2021,ARKF,LENDINGTREE INC,TREE UW,172402.00,2.07
1/11/2021,ARKK,LENDINGTREE INC,TREE UW,1224240.00,1.58
1/11/2021,ARKW,LENDINGTREE INC,TREE UW,356781.00,1.65
1/11/2021,ARKQ,TRIMBLE INC,TRMB,1513871.00,5.00
1/11/2021,ARKQ,TESLA INC,TSLA,326879.00,11.97
1/11/2021,ARKK,TESLA INC,TSLA,2652655.00,10.30
1/11/2021,ARKW,TESLA INC,TSLA,725266.00,10.06
1/11/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,2925541.00,1.72
1/11/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,566413.00,3.14
1/11/2021,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,493555.00,1.03
1/11/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,276143.00,1.50
1/11/2021,ARKW,TRADE DESK INC/THE -CLASS A,TTD,85764.00,1.14
1/11/2021,ARKF,TWILIO INC - A,TWLO,163989.00,2.64
1/11/2021,ARKK,TWILIO INC - A,TWLO,1226586.00,2.12
1/11/2021,ARKW,TWILIO INC - A,TWLO,299494.00,1.85
